,Product,Reactants
0,COC(=O)C(CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O,COC(=O)C(CCCCNC(=O)OCc1ccccc1)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O
1,O=C(Nc1cccc2cnccc12)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,O=C(c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1)O.Nc1cccc2cnccc12
2,CCN(CC)Cc1ccc(-c2nc(C)c(COc3ccc(C(CC(=O)N4C(=O)OCC4Cc4ccccc4)c4ccon4)cc3)s2)cc1,CCNCC.C(c1ccc(-c2nc(C)c(COc3ccc(C(CC(=O)N4C(=O)OCC4Cc4ccccc4)c4ccon4)cc3)s2)cc1)=O
3,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CNC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1.C(CF)(CF)=O
4,CCOc1ccc(Oc2ncnc3c2cnn3C2CCN(C(=O)OC3CCCC3)CC2)c(F)c1,CCOc1ccc(Oc2ncnc3c2cnn3C2CCNCC2)c(F)c1.C(=O)(OC1CCCC1)Cl
5,Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(-n2cccn2)cc1,Cn1cnc(-c2cc(C#N)ccn2)c1Br.c1(B(O)O)ccc(-n2cccn2)cc1
6,N#Cc1ccc(OC2CCCCO2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)c1,N#Cc1ccc(OC2CCCCO2)c(Br)c1.c1(B2OC(C)(C)C(C)(C)O2)ccc(OCc2ccc3ccccc3n2)cc1
7,COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2,COc1ccc(C(=O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2
8,CC(C)(C)OC(=O)NNC(=O)c1ccc(Br)cc1Cl,CC(C)(C)OC(=O)NN.C(=O)(c1ccc(Br)cc1Cl)O
9,CCOP(=O)(COCc1nc2c(N)ncnc2n1CCc1ccccc1)OCC,CCOP(=O)(CO)OCC.C(c1nc2c(N)ncnc2n1CCc1ccccc1)Br
10,O=C(O)CONC(=O)NCc1cccc2ccccc12,O=C(OC(C)(C)C)CONC(=O)NCc1cccc2ccccc12
11,CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1,CCOC(=O)c1nnn(Cc2ccc(OC)cc2)c1C(=O)c1ccc(OC)c(OC)c1
